#Sent triggers per gain and bias: 50000	and with a frequency [Hz] of: 100000
#Gain	bias	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	15	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	14	G	100000	49998	0.00399947	0	2	4	0	0	0	4	0	0	6
0	14	A	100000	49998	0.00399947	0	2	2	0	0	0	2	0	0	3
0	14	B	100000	49998	0.00399947	0	2	2	0	0	0	2	0	0	3
0	13	G	100000	105	99.79	99.173	49895	537	3	0	0	203	0	331	288
0	13	A	100000	146	99.708	99.17	49854	269	0	0	0	106	0	163	144
0	13	B	100000	144	99.712	99.176	49856	268	3	0	0	97	0	168	144
0	13	cSpy was 19 spamed and the readout avoided!
0	12	G	100000	0	100	100	50000	100000	100000	100000	100000	100000	100000	100000	100002
0	12	A	100000	0	100	100	50000	50000	50000	50000	50000	50000	50000	50000	50001
0	12	B	100000	0	100	100	50000	50000	50000	50000	50000	50000	50000	50000	50001
0	11	G	100000	0	100	99.999	50000	1	0	0	0	0	0	1	0
0	11	A	100000	0	100	99.998	50000	1	0	0	0	0	0	1	0
0	11	B	100000	0	100	100	50000	0	0	0	0	0	0	0	0
